locus_tag	ftype	length_bp	gene	EC_number	COG	product
GAOLONMG_00001	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
GAOLONMG_00002	CDS	1467	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
GAOLONMG_00003	CDS	573	yeiP		COG0231	Elongation factor P-like protein
GAOLONMG_00004	CDS	255				hypothetical protein
GAOLONMG_00005	CDS	1182	setB			Sugar efflux transporter B
GAOLONMG_00006	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
GAOLONMG_00007	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
GAOLONMG_00008	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
GAOLONMG_00009	CDS	942	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
GAOLONMG_00010	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
GAOLONMG_00011	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
GAOLONMG_00012	CDS	699	yeiL		COG0664	Regulatory protein YeiL
GAOLONMG_00013	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
GAOLONMG_00014	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
GAOLONMG_00015	CDS	1089	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
GAOLONMG_00016	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
GAOLONMG_00017	CDS	1050				hypothetical protein
GAOLONMG_00018	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
GAOLONMG_00019	CDS	1470	lysP		COG0833	Lysine-specific permease
GAOLONMG_00020	CDS	1992	cirA		COG4771	Colicin I receptor
GAOLONMG_00021	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
GAOLONMG_00022	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
GAOLONMG_00023	CDS	1158				hypothetical protein
GAOLONMG_00024	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
GAOLONMG_00025	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
GAOLONMG_00026	CDS	1521	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
GAOLONMG_00027	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
GAOLONMG_00028	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
GAOLONMG_00029	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
GAOLONMG_00030	CDS	240				hypothetical protein
GAOLONMG_00031	CDS	720				hypothetical protein
GAOLONMG_00032	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
GAOLONMG_00033	CDS	696	yohK		COG1346	Inner membrane protein YohK
GAOLONMG_00034	CDS	399				hypothetical protein
GAOLONMG_00035	CDS	975	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
GAOLONMG_00036	CDS	1437	ttgI			Toluene efflux pump outer membrane protein TtgI
GAOLONMG_00037	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
GAOLONMG_00038	CDS	579	yohD		COG0586	Inner membrane protein YohD
GAOLONMG_00039	CDS	588	yohC			Inner membrane protein YohC
GAOLONMG_00040	CDS	903	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
GAOLONMG_00041	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
GAOLONMG_00042	CDS	2268		3.2.1.-		Beta-xylosidase
GAOLONMG_00043	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
GAOLONMG_00044	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
GAOLONMG_00045	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
GAOLONMG_00046	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
GAOLONMG_00047	CDS	108				hypothetical protein
GAOLONMG_00048	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
GAOLONMG_00049	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
GAOLONMG_00050	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
GAOLONMG_00051	CDS	471				hypothetical protein
GAOLONMG_00052	CDS	462	yehR		COG4808	putative lipoprotein YehR
GAOLONMG_00053	CDS	2001				hypothetical protein
GAOLONMG_00054	CDS	1137				hypothetical protein
GAOLONMG_00055	CDS	408				hypothetical protein
GAOLONMG_00056	CDS	1800				hypothetical protein
GAOLONMG_00057	CDS	1089	yehL		COG0714	putative protein YehL
GAOLONMG_00058	CDS	318				hypothetical protein
GAOLONMG_00059	CDS	3633				hypothetical protein
GAOLONMG_00060	CDS	1674				hypothetical protein
GAOLONMG_00061	CDS	2109				hypothetical protein
GAOLONMG_00062	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
GAOLONMG_00063	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
GAOLONMG_00064	CDS	282				hypothetical protein
GAOLONMG_00065	CDS	543	yehD			putative fimbrial-like protein YehD
GAOLONMG_00066	CDS	675	yehC		COG3121	putative fimbrial chaperone YehC
