locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPDANJCC_00001	CDS	1638	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
OPDANJCC_00002	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
OPDANJCC_00003	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
OPDANJCC_00004	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
OPDANJCC_00005	CDS	996	gntR			HTH-type transcriptional regulator GntR
OPDANJCC_00006	CDS	528	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
OPDANJCC_00007	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
OPDANJCC_00008	CDS	2100	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
OPDANJCC_00009	CDS	1203				hypothetical protein
OPDANJCC_00010	CDS	594				hypothetical protein
OPDANJCC_00011	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
OPDANJCC_00012	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
OPDANJCC_00013	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
OPDANJCC_00014	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
OPDANJCC_00015	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
OPDANJCC_00016	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
OPDANJCC_00017	CDS	1506				hypothetical protein
OPDANJCC_00018	CDS	768				hypothetical protein
OPDANJCC_00019	CDS	606				hypothetical protein
OPDANJCC_00020	CDS	1506	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
OPDANJCC_00021	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
OPDANJCC_00022	CDS	831	glpG_1	3.4.21.105	COG0705	Rhomboid protease GlpG
